Название;Цена;Наличие
Название;Цена;Наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 500GB HDD DOS Black;39920 сом;На складе
Ноутбук HP Pavilion Gaming 15-ec1073dx 1S8F3UA#ABA AMD Ryzen 5 4600H 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черный;76580 сом;На складе
Ноутбук Lenovo Ideapad 3 Intel Pentium 6405U 4GB DDR4 128GB SSD W10 черный;35730 сом;На складе
Ноутбук Lenovo IdeaPad Slim 1-14AST-05 81VS AMD A4-9120e 4GB DDR 256GB SSD AMD Radeon R3 Graphics HD серый;29010 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD DOS Black;41920 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS Black;40180 сом;На складе
Ноутбук Lenovo IdeaPad Gaming L340-15IRH Intel Core i5-9300H 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB Full HD Black;71390 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD DOS Black;42180 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 256GB SSD DOS Black;41060 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 256GB SSD DOS Black;43050 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 512GB SSD DOS Black;44790 сом;На складе
Ноутбук Asus FX505DT AMD Ryzen 7-3750H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 Black;82650 сом;На складе
Ноутбук Acer Nitro 5 AN515-55 Intel Core i5-10300H 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD W10 Black;87550 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD DOS Black;45840 сом;На складе
Ноутбук Asus X509JA Intel Core i7-1065G7 8GB DDR4 256GB SSD FHD W10 Slate Gray;83080 сом;На складе
Ноутбук Acer Nitro 5 AN515-44 AMD Ryzen 5-4600H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD W10 Black;92180 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD DOS Black;46270 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD DOS Black;47750 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 120GB SSD Intel HD Graphics 620 HD серый;43490 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серый;45320 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серый;47140 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 240GB SSD Intel HD Graphics 620 HD серый;44880 сом;На складе
